school_name,domain
天水师范学院,tsnc.edu.cn
营口理工学院,yku.edu.cn
商洛学院,slxy.cn
兰州石化职业技术大学,lzpcc.com.cn
上海健康医学院,sumhs.edu.cn
中华女子学院,cwu.edu.cn
宁德师范学院,ndnu.edu.cn
邵阳学院,hnsyu.net
海南热带海洋学院,qzu.edu.cn
洛阳理工学院,lit.edu.cn
玉溪师范学院,yxnu.net
成都工业学院,cdtu.edu.cn
安阳工学院,ayit.edu.cn
赣南医科大学,gmu.cn
四川旅游学院,sctu.edu.cn
九江学院,jju.edu.cn
鞍山师范学院,asnc.edu.cn
山东女子学院,sdwu.edu.cn
承德医学院,cdmc.edu.cn
内蒙古科技大学包头师范学院,bttc.edu.cn
成都医学院,cmc.edu.cn
赤峰学院,cfxy.cn
淮南师范学院,hnnu.edu.cn
湖南工学院,hnpu.edu.cn
贺州学院,hzu.gx.cn
吉林化工学院,jlict.edu.cn
河西学院,hxu.edu.cn
云南中医药大学,ynutcm.edu.cn
南昌师范学院,ncnu.edu.cn
许昌学院,xcu.edu.cn
吉林农业科技学院,jlnku.edu.cn
河北建筑工程学院,hebiace.edu.cn
天津体育学院,tjus.edu.cn
河南牧业经济学院,habc.edu.cn
宁夏师范大学,nxtu.cn
陇东学院,ldxy.edu.cn
武夷学院,wuyiu.edu.cn
运城学院,ycu.edu.cn
安康学院,aku.edu.cn
宿州学院,ahszu.edu.cn
上海商学院,sbs.edu.cn
山东管理学院,sdmu.edu.cn
黄山学院,hsu.edu.cn
南京体育学院,nipes.cn
泰州学院,tzu-edu.cn
巢湖学院,chtc.edu.cn
喀什大学,ksu.edu.cn
陕西学前师范学院,snie.edu.cn
江苏警官学院,jspi.cn
四川警察学院,scpolicec.edu.cn
辽东学院,elnu.edu.cn
伊犁师范大学,ylnu.edu.cn
山东农业工程学院,sdngy.edu.cn
辽宁科技学院,lnist.edu.cn
甘肃中医药大学,gszy.edu.cn
琼台师范学院,qtnu.edu.cn
红河学院,uoh.edu.cn
湖州学院,zjhzu.edu.cn
山东青年政治学院,sdyu.edu.cn
六盘水师范学院,lpssy.edu.cn
广州体育学院,gipe.edu.cn
梧州学院,gxuwz.edu.cn
甘肃政法大学,gsupl.edu.cn
呼伦贝尔学院,hlbrc.cn
湖北民族大学,hbmzu.edu.cn
河北民族师范学院,hbun.net
兰州城市学院,lzcu.edu.cn
凯里学院,kluniv.edu.cn
兰州工业学院,lzptc.edu.cn
郑州工程技术学院,zzut.edu.cn
山西中医药大学,sxtcm.edu.cn
福建技术师范学院,fpnu.edu.cn
广东金融学院,gduf.edu.cn
阿坝师范学院,abtu.edu.cn
贵阳康养职业大学,gynvc.edu.cn
安顺学院,asu.edu.cn
大庆师范学院,dqsy.net
萍乡学院,pxc.jx.cn
南京特殊教育师范学院,njts.edu.cn
郑州师范学院,zznu.edu.cn
长沙师范学院,cssf.cn
赣南科技学院,gnust.edu.cn
桂林航天工业学院,guat.edu.cn
晋中学院,sxjztc.edu.cn
新疆财经大学,xjufe.edu.cn
菏泽学院,hezeu.edu.cn
邯郸学院,hdc.edu.cn
河北环境工程学院,hebuee.edu.cn
内蒙古科技大学包头医学院,btmc.cn
